AMN 0
AMX 250
CMN 8
CMX 30
1MN 50
1MX 300
2MN 51
2MX 0
SED 60990
ITM 0
QTM 1000
QPB 0.200000
!Start
133,0,1000
151,1,1000
151,2,1000
160,0,1001
171,1,1001
198,0,1005
222,1,1005
236,0,1002
257,0,1006
264,1,1002
267,1,1006
267,2,1006
299,0,1011
328,1,1011
328,4,1011
331,0,1004
346,1,1004
366,0,1013
382,0,1010
386,0,1015
387,1,1013
397,1,1010
408,0,1018
337,3,1000
347,3,1006
373,0,1025
379,0,1012
394,1,1025
380,0,1014
393,0,1003
398,0,1007
404,1,1014
405,1,1012
405,2,1012
406,5,1011
409,0,1032
412,0,1008
409,1,1015
420,1,1008
420,0,1039
435,1,1039
437,1,1032
478,0,1040
471,0,1022
493,1,1022
499,1,1040
505,0,1019
493,0,1009
423,1,1018
424,0,1021
451,1,1021
462,0,1049
475,1,1049
475,2,1049
494,0,1050
500,0,1024
502,0,1027
416,1,1003
498,0,1016
514,1,1050
515,1,1016
521,1,1027
521,4,1027
410,1,1007
411,0,1029
430,1,1029
475,0,1031
493,1,1031
454,0,1036
468,0,1033
472,1,1036
482,1,1033
482,4,1033
491,0,1071
514,0,1065
516,0,1064
518,1,1071
521,0,1042
529,0,1034
529,0,1037
543,1,1034
543,0,1079
523,0,1038
543,1,1038
544,1,1042
545,1,1037
571,1,1079
577,0,1082
522,1,1019
555,0,1020
577,1,1020
580,0,1090
591,1,1082
607,1,1090
613,0,1041
620,0,1093
553,0,1045
568,1,1045
517,0,1047
526,1,1024
543,1,1047
528,0,1023
517,1,1009
544,1,1023
563,0,1052
579,0,1048
579,0,1051
582,1,1052
587,1,1048
536,0,1056
553,1,1056
558,0,1111
581,1,1111
608,1,1051
609,0,1109
545,0,1055
556,1,1055
542,0,1053
571,1,1053
617,0,1046
537,1,1065
545,0,1060
564,0,1028
571,1,1060
580,1,1028
606,0,1122
617,0,1057
620,0,1119
629,1,1122
642,0,1128
568,0,1030
578,1,1030
578,2,1030
587,5,1027
610,0,1058
614,0,1133
624,1,1133
625,1,1058
625,4,1058
539,1,1064
617,0,1068
575,0,1069
596,1,1069
619,0,1143
547,0,1070
559,1,1070
628,1,1143
630,1,1068
642,0,1145
537,0,1074
563,1,1074
565,5,1033
551,0,1035
552,0,1017
569,0,1151
571,1,1035
572,0,1073
572,1,1017
572,4,1017
583,1,1151
588,0,1160
605,1,1160
605,4,1160
621,1,1109
640,1,1041
650,0,1078
660,5,1017
678,1,1078
736,0,1081
620,0,1080
642,1,1080
647,0,1083
657,1,1083
701,0,1170
726,0,1171
726,1,1170
744,1,1171
757,0,1173
762,1,1081
768,0,1176
620,0,1044
635,1,1044
680,0,1087
684,0,1183
688,0,1092
693,1,1183
693,4,1183
694,1,1087
681,0,1095
694,2,1087
703,0,1184
706,0,1181
634,1,1093
707,1,1092
707,0,1191
